Time (min),Value (pA)
11.268333,3.072754
11.27,3.078525
11.271667,3.087734
11.273333,3.098563
11.275,3.109452
11.276667,3.119699
11.278333,3.128211
11.28,3.133138
11.281667,3.133756
11.283333,3.130299
11.285,3.122982
11.286667,3.114128
11.288333,3.104681
11.29,3.09381
11.291667,3.085161
11.293333,3.080254
11.295,3.078256
11.296667,3.078587
11.298333,3.083689
11.3,3.090338
11.301667,3.097102
11.303333,3.105182
11.305,3.112256
11.306667,3.116054
11.308333,3.118109
11.31,3.118593
11.311667,3.116623
11.313333,3.114624
11.315,3.114126
11.316667,3.113685
11.318333,3.115023
11.32,3.119303
11.321667,3.124472
11.323333,3.132823
11.325,3.142501
11.326667,3.155008
11.328333,3.168629
11.33,3.183951
11.331667,3.199749
11.333333,3.216552
11.335,3.232383
11.336667,3.246718
11.338333,3.257799
11.34,3.266668
11.341667,3.269648
11.343333,3.267824
11.345,3.259548
11.346667,3.247703
11.348333,3.233706
11.35,3.217234
11.351667,3.200199
11.353333,3.183718
11.355,3.168857
11.356667,3.156275
11.358333,3.145797
11.36,3.137602
11.361667,3.129985
11.363333,3.124595
11.365,3.119512
11.366667,3.11348
11.368333,3.108836
11.37,3.104994
11.371667,3.101603
11.373333,3.098718
11.375,3.098035
11.376667,3.099246
11.378333,3.102702
11.38,3.106406
11.381667,3.109773
11.383333,3.113052
11.385,3.115844
11.386667,3.116714
11.388333,3.114008
11.39,3.109135
11.391667,3.104068
11.393333,3.100084
11.395,3.098208
11.396667,3.097664
11.398333,3.098037
11.4,3.09966
11.401667,3.102118
11.403333,3.104326
11.405,3.106554
11.406667,3.106608
11.408333,3.105819
11.41,3.103756
11.411667,3.102295
11.413333,3.100455
11.415,3.098144
11.416667,3.096886
11.418333,3.097788
11.42,3.102927
11.421667,3.111005
11.423333,3.120306
11.425,3.131243
11.426667,3.142343
11.428333,3.152975
11.43,3.160286
11.431667,3.165046
11.433333,3.166147
11.435,3.164775
11.436667,3.162423
11.438333,3.15721
11.44,3.149956
11.441667,3.142486
11.443333,3.133667
11.445,3.124126
11.446667,3.116139
11.448333,3.107865
11.45,3.102258
11.451667,3.099371
11.453333,3.096844
11.455,3.095173
11.456667,3.094189
11.458333,3.095265
11.46,3.097749
11.461667,3.101086
11.463333,3.105462
11.465,3.10864
11.466667,3.113839
11.468333,3.11774
11.47,3.118855
11.471667,3.118603
11.473333,3.115946
11.475,3.112291
11.476667,3.109231
11.478333,3.104388
11.48,3.098403
11.481667,3.091417
11.483333,3.086537
11.485,3.081886
11.486667,3.078198
11.488333,3.076142
11.49,3.077168
11.491667,3.084387
11.493333,3.097496
11.495,3.115698
11.496667,3.139033
11.498333,3.166385
11.5,3.197069
11.501667,3.227591
11.503333,3.253352
11.505,3.271198
11.506667,3.280344
11.508333,3.28008
11.51,3.270134
11.511667,3.252859
11.513333,3.230341
11.515,3.206858
11.516667,3.183592
11.518333,3.163538
11.52,3.146731
11.521667,3.134237
11.523333,3.124403
11.525,3.117709
11.526667,3.114911
11.528333,3.113645
11.53,3.113807
11.531667,3.114893
11.533333,3.11532
11.535,3.113375
11.536667,3.110648
11.538333,3.107584
11.54,3.103063
11.541667,3.098558
11.543333,3.095592
11.545,3.091551
11.546667,3.087311
11.548333,3.083463
11.55,3.080347
11.551667,3.076872
11.553333,3.074845
11.555,3.075794
11.556667,3.079699
11.558333,3.084328
11.56,3.089833
11.561667,3.093765
11.563333,3.097766
11.565,3.101151
11.566667,3.102398
11.568333,3.103309
11.57,3.100911
11.571667,3.097332
11.573333,3.092683
11.575,3.088038
11.576667,3.082456
11.578333,3.078536
11.58,3.076984
11.581667,3.077426
11.583333,3.079899
11.585,3.083825
11.586667,3.085642
11.588333,3.08769
11.59,3.089441
11.591667,3.090849
11.593333,3.090583
11.595,3.089796
11.596667,3.090199
11.598333,3.089962
11.6,3.088793
11.601667,3.087352
11.603333,3.08708
11.605,3.089112
11.606667,3.091165
11.608333,3.094495
11.61,3.099831
11.611667,3.106474
11.613333,3.116203
11.615,3.123838
11.616667,3.128439
11.618333,3.131422
11.62,3.1332
11.621667,3.134366
11.623333,3.137503
11.625,3.148976
11.626667,3.177121
11.628333,3.226157
11.63,3.302771
11.631667,3.404957
11.633333,3.529454
11.635,3.665953
11.636667,3.796834
11.638333,3.909943
11.64,3.993659
11.641667,4.038494
11.643333,4.044181
11.645,4.012643
11.646667,3.95611
11.648333,3.884393
11.65,3.808936
11.651667,3.737447
11.653333,3.67291
11.655,3.620799
11.656667,3.578593
11.658333,3.545494
11.66,3.519353
11.661667,3.497366
11.663333,3.477172
11.665,3.457449
11.666667,3.438392
11.668333,3.421414
11.67,3.403734
11.671667,3.387329
11.673333,3.370062
11.675,3.355171
11.676667,3.341945
11.678333,3.329156
11.68,3.316461
11.681667,3.306684
11.683333,3.307398
11.685,3.305835
11.686667,3.317163
11.688333,3.318546
11.69,3.375082
11.691667,3.495393
11.693333,3.71124
11.695,4.064775
11.696667,4.59575
11.698333,5.325411
11.7,6.242626
11.701667,7.284632
11.703333,8.348469
11.705,9.301804
11.706667,10.018044
11.708333,10.398033
11.71,10.397628
11.711667,10.051887
11.713333,9.435817
11.715,8.65643
11.716667,7.830224
11.718333,7.042852
11.72,6.352207
11.721667,5.77876
11.723333,5.319066
11.725,4.954695
11.726667,4.66875
11.728333,4.450597
11.73,4.279954
11.731667,4.142552
11.733333,4.03288
11.735,3.943435
11.736667,3.871976
11.738333,3.813275
11.74,3.763653
11.741667,3.718617
11.743333,3.676414
11.745,3.637586
11.746667,3.603019
11.748333,3.57076
11.75,3.542302
11.751667,3.51759
11.753333,3.495551
11.755,3.47583
11.756667,3.457846
11.758333,3.43932
11.76,3.419877
11.761667,3.401089
11.763333,3.381871
11.765,3.36305
11.766667,3.343876
11.768333,3.326041
11.77,3.309417
11.771667,3.294553
11.773333,3.282922
11.775,3.274159
11.776667,3.268552
11.778333,3.266334
11.78,3.265446
11.781667,3.267266
11.783333,3.269353
11.785,3.272571
11.786667,3.274566
11.788333,3.273639
11.79,3.270362
11.791667,3.264784
11.793333,3.255882
11.795,3.242854
11.796667,3.226879
11.798333,3.210887
11.8,3.196404
11.801667,3.183543
11.803333,3.172164
11.805,3.16304
11.806667,3.15667
11.808333,3.15344
11.81,3.150854
11.811667,3.149292
11.813333,3.149033
11.815,3.149112
11.816667,3.150051
11.818333,3.151673
11.82,3.151592
11.821667,3.150669
11.823333,3.150908
11.825,3.150225
11.826667,3.14764
11.828333,3.144743
11.83,3.141054
11.831667,3.137695
11.833333,3.135566
11.835,3.134384
11.836667,3.131332
11.838333,3.129704
11.84,3.132145
11.841667,3.135831
11.843333,3.140557
11.845,3.147845
11.846667,3.156461
11.848333,3.168506
11.85,3.180115
11.851667,3.188685
11.853333,3.19337
11.855,3.193798
11.856667,3.190376
11.858333,3.181329
11.86,3.170408
11.861667,3.160109
11.863333,3.148832
11.865,3.141322
11.866667,3.134748
11.868333,3.130929
11.87,3.131092
11.871667,3.131567
11.873333,3.133139
11.875,3.13445
11.876667,3.137772
11.878333,3.141438
11.88,3.143105
11.881667,3.145134
11.883333,3.14512
11.885,3.144213
11.886667,3.14289
11.888333,3.139126
11.89,3.134767
11.891667,3.130438
11.893333,3.125766
11.895,3.121474
11.896667,3.116855
11.898333,3.112746
11.9,3.108197
11.901667,3.103215
11.903333,3.098892
11.905,3.096956
11.906667,3.095662
11.908333,3.093984
11.91,3.091096
11.911667,3.090453
11.913333,3.088506
11.915,3.087109
11.916667,3.085631
11.918333,3.083729
11.92,3.081378
11.921667,3.081325
11.923333,3.079636
11.925,3.076649
11.926667,3.074156
11.928333,3.074007
11.93,3.073054
11.931667,3.072467
11.933333,3.072746
11.935,3.071013
11.936667,3.068657
11.938333,3.067579
11.94,3.065855
11.941667,3.064141
11.943333,3.063185
11.945,3.062798
11.946667,3.062458
11.948333,3.064014
11.95,3.065545
11.951667,3.064298
11.953333,3.065227
11.955,3.066346
11.956667,3.066783
11.958333,3.066544
11.96,3.066227
11.961667,3.066297
11.963333,3.067195
11.965,3.068999
11.966667,3.069316
11.968333,3.068423
11.97,3.068902
11.971667,3.068764
11.973333,3.06828
11.975,3.066936
11.976667,3.065217
11.978333,3.062977
11.98,3.06249
11.981667,3.061599
11.983333,3.061846
11.985,3.061868
11.986667,3.063233
11.988333,3.06406
11.99,3.062701
11.991667,3.060323
11.993333,3.058076
11.995,3.05465
11.996667,3.054596
11.998333,3.053186
12,3.052781
12.001667,3.053479
12.003333,3.053806
12.005,3.053261
12.006667,3.051876
12.008333,3.051296
12.01,3.051286
12.011667,3.050568
12.013333,3.051402
12.015,3.049837
12.016667,3.048367
12.018333,3.047117
12.02,3.045518
12.021667,3.045164
12.023333,3.045022
12.025,3.044834
12.026667,3.045169
12.028333,3.045601
12.03,3.046803
12.031667,3.047302
12.033333,3.047108
12.035,3.046207
12.036667,3.046035
12.038333,3.046191
12.04,3.046067
12.041667,3.046069
12.043333,3.045156
12.045,3.043555
12.046667,3.043843
12.048333,3.043925
12.05,3.043147
12.051667,3.042819
12.053333,3.043119
12.055,3.043043
12.056667,3.043793
12.058333,3.045535
12.06,3.045867
12.061667,3.048012
12.063333,3.050757
12.065,3.053033
12.066667,3.055173
12.068333,3.058167
12.07,3.060161
12.071667,3.061086
12.073333,3.061754
12.075,3.061647
12.076667,3.060631
12.078333,3.061375
12.08,3.060513
12.081667,3.059744
12.083333,3.059154
12.085,3.05965
12.086667,3.060967
12.088333,3.062248
12.09,3.06278
12.091667,3.062581
12.093333,3.062207
12.095,3.063351
12.096667,3.064275
12.098333,3.063658
12.1,3.062611
12.101667,3.061373
12.103333,3.060177
12.105,3.057832
12.106667,3.055231
12.108333,3.05244
12.11,3.050932
12.111667,3.050625
12.113333,3.050356
12.115,3.05007
12.116667,3.05044
12.118333,3.050709
12.12,3.051201
12.121667,3.050935
12.123333,3.05078
12.125,3.048544
12.126667,3.047305
12.128333,3.044514
12.13,3.041205
12.131667,3.038706
12.133333,3.036798
12.135,3.035454
12.136667,3.035139
12.138333,3.035665
12.14,3.035771
12.141667,3.035195
12.143333,3.035646
12.145,3.036577
12.146667,3.036031
12.148333,3.037664
12.15,3.038727
12.151667,3.039586
12.153333,3.039992
12.155,3.040392
12.156667,3.039545
12.158333,3.038291
12.16,3.037568
12.161667,3.038484
12.163333,3.03894
12.165,3.0403
12.166667,3.041976
12.168333,3.044454
12.17,3.046205
12.171667,3.047278
12.173333,3.048032
12.175,3.048724
12.176667,3.05164
12.178333,3.056424
12.18,3.062032
12.181667,3.066509
12.183333,3.07231
12.185,3.07748
12.186667,3.081204
12.188333,3.079159
12.19,3.080726
12.191667,3.078127
12.193333,3.074662
12.195,3.070474
12.196667,3.066037
12.198333,3.060657
12.2,3.055831
12.201667,3.053022
12.203333,3.051602
12.205,3.050236
12.206667,3.049748
12.208333,3.049536
12.21,3.049757
12.211667,3.049066
12.213333,3.049851
12.215,3.049742
12.216667,3.050568
12.218333,3.0516
12.22,3.053495
12.221667,3.05433
12.223333,3.056033
12.225,3.059641
12.226667,3.065862
12.228333,3.072929
12.23,3.0829
12.231667,3.094813
12.233333,3.10864
12.235,3.121585
12.236667,3.1345
12.238333,3.143873
12.24,3.151109
12.241667,3.156149
12.243333,3.158561
12.245,3.157357
12.246667,3.154022
12.248333,3.151492
12.25,3.150745
12.251667,3.150853
12.253333,3.152678
12.255,3.156256
12.256667,3.159513
12.258333,3.163316
12.26,3.165347
12.261667,3.165534
12.263333,3.162387
12.265,3.157651
12.266667,3.152544
12.268333,3.146282
12.27,3.141346
12.271667,3.140478
12.273333,3.142567
12.275,3.150965
12.276667,3.163918
12.278333,3.180869
12.28,3.198224
12.281667,3.216103
12.283333,3.233027
12.285,3.244915
12.286667,3.252296
12.288333,3.253453
12.29,3.248269
12.291667,3.238059
12.293333,3.224636
12.295,3.208608
12.296667,3.19179
12.298333,3.177244
12.3,3.165222
12.301667,3.155802
12.303333,3.149181
12.305,3.144475
12.306667,3.140176
12.308333,3.137159
12.31,3.136376
12.311667,3.133978
12.313333,3.130832
12.315,3.127583
12.316667,3.123618
12.318333,3.120367
12.32,3.11705
12.321667,3.115332
12.323333,3.115262
12.325,3.117991
12.326667,3.124472
12.328333,3.133475
12.33,3.146237
12.331667,3.163389
12.333333,3.182579
12.335,3.203883
12.336667,3.224266
12.338333,3.243623
12.34,3.260059
12.341667,3.270863
12.343333,3.277568
12.345,3.280471
12.346667,3.280995
12.348333,3.28064
12.35,3.276402
12.351667,3.271766
12.353333,3.265371
12.355,3.257599
12.356667,3.246722
12.358333,3.232117
12.36,3.214911
12.361667,3.195225
12.363333,3.175668
12.365,3.157946
12.366667,3.140606
12.368333,3.125227
12.37,3.112329
12.371667,3.101449
12.373333,3.093891
12.375,3.088821
12.376667,3.085415
12.378333,3.083895
12.38,3.084676
12.381667,3.090232
12.383333,3.098124
12.385,3.107613
12.386667,3.119424
12.388333,3.132879
12.39,3.149169
12.391667,3.164714
12.393333,3.180353
12.395,3.193095
12.396667,3.203143
12.398333,3.21114
12.4,3.216997
12.401667,3.222228
12.403333,3.226659
12.405,3.231088
12.406667,3.237574
12.408333,3.241308
12.41,3.245145
12.411667,3.245719
12.413333,3.244992
12.415,3.243018
12.416667,3.243353
12.418333,3.246677
12.42,3.252009
12.421667,3.258765
12.423333,3.265616
12.425,3.26756
12.426667,3.26423
12.428333,3.254636
12.43,3.238805
12.431667,3.218174
12.433333,3.195822
12.435,3.17323
12.436667,3.152442
12.438333,3.134909
12.44,3.120075
12.441667,3.109927
12.443333,3.109591
12.445,3.107771
12.446667,3.115074
12.448333,3.134
12.45,3.167258
12.451667,3.216865
12.453333,3.28506
12.455,3.371096
12.456667,3.470182
12.458333,3.577443
12.46,3.681838
12.461667,3.772542
12.463333,3.84005
12.465,3.876022
12.466667,3.879299
12.468333,3.849409
12.47,3.796217
12.471667,3.729802
12.473333,3.65688
12.475,3.58629
12.476667,3.523824
12.478333,3.470539
12.48,3.426076
12.481667,3.387021
12.483333,3.352768
12.485,3.322572
12.486667,3.298614
12.488333,3.279147
12.49,3.264131
12.491667,3.25617
12.493333,3.256792
12.495,3.262499
12.496667,3.271934
12.498333,3.282939
12.5,3.294816
12.501667,3.307408
12.503333,3.31889
12.505,3.32874
12.506667,3.340054
12.508333,3.3521
12.51,3.36476
12.511667,3.374848
12.513333,3.382636
12.515,3.386465
12.516667,3.386074
12.518333,3.380842
12.52,3.371382
12.521667,3.358484
12.523333,3.344701
12.525,3.329895
12.526667,3.316206
12.528333,3.305756
12.53,3.300705
12.531667,3.301891
12.533333,3.308177
12.535,3.318131
12.536667,3.329777
12.538333,3.341078
12.54,3.355218
12.541667,3.372462
12.543333,3.394202
12.545,3.421674
12.546667,3.454335
12.548333,3.490536
12.55,3.523988
12.551667,3.549917
12.553333,3.561944
12.555,3.557951
12.556667,3.539366
12.558333,3.505391
12.56,3.459994
12.561667,3.408492
12.563333,3.357694
12.565,3.311804
12.566667,3.274256
12.568333,3.250389
12.57,3.240024
12.571667,3.24594
12.573333,3.265686
12.575,3.298187
12.576667,3.341583
12.578333,3.390232
12.58,3.43691
12.581667,3.478702
12.583333,3.513944
12.585,3.542275
12.586667,3.558739
12.588333,3.566526
12.59,3.566194
12.591667,3.562532
12.593333,3.557812
12.595,3.550236
12.596667,3.540166
12.598333,3.531539
12.6,3.524912
12.601667,3.519765
12.603333,3.513015
12.605,3.505924
12.606667,3.495872
12.608333,3.481204
12.61,3.464227
12.611667,3.443171
12.613333,3.420987
12.615,3.402546
12.616667,3.389227
12.618333,3.384562
12.62,3.38858
12.621667,3.397414
12.623333,3.406545
12.625,3.413842
12.626667,3.421744
12.628333,3.424404
12.63,3.422309
12.631667,3.419209
12.633333,3.415467
12.635,3.412957
12.636667,3.413146
12.638333,3.41443
12.64,3.421178
12.641667,3.433333
12.643333,3.454154
12.645,3.480408
12.646667,3.514599
12.648333,3.555475
12.65,3.597098
12.651667,3.635259
12.653333,3.667644
12.655,3.689311
12.656667,3.692876
12.658333,3.684857
12.66,3.657426
12.661667,3.61659
12.663333,3.56651
12.665,3.511043
12.666667,3.45449
12.668333,3.403009
12.67,3.360613
12.671667,3.330001
12.673333,3.312258
12.675,3.309261
12.676667,3.320949
12.678333,3.346032
12.68,3.383265
12.681667,3.429681
12.683333,3.482074
12.685,3.532034
12.686667,3.573204
12.688333,3.601931
12.69,3.616497
12.691667,3.615537
12.693333,3.603049
12.695,3.582176
12.696667,3.5605
12.698333,3.541553
12.7,3.529032
12.701667,3.520333
12.703333,3.513801
12.705,3.508718
12.706667,3.504332
12.708333,3.500282
12.71,3.498156
12.711667,3.499345
12.713333,3.512967
12.715,3.547673
12.716667,3.609777
12.718333,3.705114
12.72,3.833007
12.721667,3.98674
12.723333,4.152376
12.725,4.308746
12.726667,4.431001
12.728333,4.50258
12.73,4.51739
12.731667,4.471956
12.733333,4.375167
12.735,4.246686
12.736667,4.10309
12.738333,3.960538
12.74,3.831553
12.741667,3.724152
12.743333,3.639397
12.745,3.577245
12.746667,3.53757
12.748333,3.513814
12.75,3.504485
12.751667,3.506234
12.753333,3.51561
12.755,3.529972
12.756667,3.547527
12.758333,3.565905
12.76,3.583169
12.761667,3.597967
12.763333,3.611727
12.765,3.623056
12.766667,3.630377
12.768333,3.635783
12.77,3.641617
12.771667,3.646389
12.773333,3.648457
12.775,3.646152
12.776667,3.638683
12.778333,3.624172
12.78,3.598172
12.781667,3.562462
12.783333,3.51803
12.785,3.470035
12.786667,3.422923
12.788333,3.380854
12.79,3.345899
12.791667,3.322709
12.793333,3.30998
12.795,3.308515
12.796667,3.313676
12.798333,3.328537
12.8,3.349674
12.801667,3.373904
12.803333,3.398147
12.805,3.419968
12.806667,3.43446
12.808333,3.441504
12.81,3.43994
12.811667,3.431963
12.813333,3.422942
12.815,3.412985
12.816667,3.40963
12.818333,3.417005
12.82,3.436134
12.821667,3.467839
12.823333,3.509718
12.825,3.557454
12.826667,3.60626
12.828333,3.649599
12.83,3.684621
12.831667,3.708924
12.833333,3.726977
12.835,3.742903
12.836667,3.757027
12.838333,3.770587
12.84,3.781655
12.841667,3.788614
12.843333,3.790936
12.845,3.783294
12.846667,3.765493
12.848333,3.738888
12.85,3.706827
12.851667,3.67134
12.853333,3.634285
12.855,3.598031
12.856667,3.562163
12.858333,3.528358
12.86,3.49714
12.861667,3.467542
12.863333,3.43924
12.865,3.412789
12.866667,3.38774
12.868333,3.363738
12.87,3.345062
12.871667,3.332706
12.873333,3.326187
12.875,3.323292
12.876667,3.326755
12.878333,3.336338
12.88,3.349516
12.881667,3.367247
12.883333,3.387677
12.885,3.4058
12.886667,3.421714
12.888333,3.432125
12.89,3.433597
12.891667,3.425527
12.893333,3.40992
12.895,3.386648
12.896667,3.358756
12.898333,3.3312
12.9,3.309206
12.901667,3.292412
12.903333,3.285285
12.905,3.291292
12.906667,3.309505
12.908333,3.342989
12.91,3.392972
12.911667,3.460574
12.913333,3.5439
12.915,3.642334
12.916667,3.75302
12.918333,3.867845
12.92,3.978274
12.921667,4.075066
12.923333,4.147385
12.925,4.191793
12.926667,4.205626
12.928333,4.191
12.93,4.152666
12.931667,4.099355
12.933333,4.03857
12.935,3.974114
12.936667,3.909626
12.938333,3.849332
12.94,3.794175
12.941667,3.747777
12.943333,3.709002
12.945,3.680181
12.946667,3.663962
12.948333,3.662544
12.95,3.674394
12.951667,3.696795
12.953333,3.729102
12.955,3.770318
12.956667,3.813193
12.958333,3.854028
12.96,3.885276
12.961667,3.904957
12.963333,3.909685
12.965,3.897181
12.966667,3.869508
12.968333,3.828382
12.97,3.779501
12.971667,3.726223
12.973333,3.669992
12.975,3.612586
12.976667,3.556555
12.978333,3.505038
12.98,3.456591
12.981667,3.411591
12.983333,3.373883
12.985,3.342221
12.986667,3.318048
12.988333,3.299031
12.99,3.284601
12.991667,3.272618
12.993333,3.26415
12.995,3.258822
12.996667,3.255457
12.998333,3.25285
13,3.252662
13.001667,3.254985
13.003333,3.259658
13.005,3.26665
13.006667,3.275489
13.008333,3.284925
13.01,3.298693
13.011667,3.314298
13.013333,3.332846
13.015,3.352768
13.016667,3.375011
13.018333,3.404256
13.02,3.442703
13.021667,3.48848
13.023333,3.538237
13.025,3.590687
13.026667,3.643342
13.028333,3.686781
13.03,3.716799
13.031667,3.728427
13.033333,3.719309
13.035,3.692731
13.036667,3.650682
13.038333,3.59619
13.04,3.534094
13.041667,3.473073
13.043333,3.41302
13.045,3.359174
13.046667,3.313374
13.048333,3.274637
13.05,3.242723
13.051667,3.217561
13.053333,3.199511
13.055,3.188029
13.056667,3.182451
13.058333,3.18169
13.06,3.183358
13.061667,3.190868
13.063333,3.201483
13.065,3.211506
13.066667,3.220922
13.068333,3.228675
13.07,3.234811
13.071667,3.238398
13.073333,3.239838
13.075,3.237478
13.076667,3.235069
13.078333,3.236691
13.08,3.238045
13.081667,3.242859
13.083333,3.249682
13.085,3.260478
13.086667,3.272893
13.088333,3.287333
13.09,3.300865
13.091667,3.310275
13.093333,3.319027
13.095,3.324315
13.096667,3.324723
13.098333,3.321553
13.1,3.31612
13.101667,3.309586
13.103333,3.300785
13.105,3.292821
13.106667,3.283861
13.108333,3.27328
13.11,3.266214
13.111667,3.258476
13.113333,3.252337
13.115,3.247808
13.116667,3.246258
13.118333,3.24436
13.12,3.241331
13.121667,3.23794
13.123333,3.232658
13.125,3.224746
13.126667,3.216665
13.128333,3.207695
13.13,3.199008
13.131667,3.191565
13.133333,3.187357
13.135,3.183743
13.136667,3.181252
13.138333,3.180571
13.14,3.181461
13.141667,3.183159
13.143333,3.184061
13.145,3.184334
13.146667,3.183522
13.148333,3.180497
13.15,3.177961
13.151667,3.17436
13.153333,3.171174
13.155,3.167458
13.156667,3.16441
13.158333,3.163971
13.16,3.1646
13.161667,3.166285
13.163333,3.167439
13.165,3.167851
13.166667,3.169464
13.168333,3.170096
13.17,3.171317
13.171667,3.171755
13.173333,3.170675
13.175,3.171332
13.176667,3.172914
13.178333,3.173015
13.18,3.172512
13.181667,3.172335
13.183333,3.172795
13.185,3.173496
13.186667,3.175844
13.188333,3.180762
13.19,3.18326
13.191667,3.186267
13.193333,3.188545
13.195,3.189723
13.196667,3.191655
13.198333,3.193673
13.2,3.19693
13.201667,3.203318
13.203333,3.212778
13.205,3.227096
13.206667,3.243276
13.208333,3.26119
13.21,3.280703
13.211667,3.304157
13.213333,3.325955
13.215,3.345244
13.216667,3.360641
13.218333,3.373361
13.22,3.378893
13.221667,3.379539
13.223333,3.373307
13.225,3.360706
13.226667,3.345857
13.228333,3.330966
13.23,3.313325
13.231667,3.295538
13.233333,3.278689
13.235,3.262258
13.236667,3.246607
13.238333,3.232636
13.24,3.219439
13.241667,3.207543
13.243333,3.197566
13.245,3.190138
13.246667,3.182064
13.248333,3.176131
13.25,3.169615
13.251667,3.161279
13.253333,3.155317
13.255,3.148896
13.256667,3.144474
13.258333,3.140824
13.26,3.140225
13.261667,3.140898
13.263333,3.142739
13.265,3.148942
13.266667,3.156394
13.268333,3.163872
13.27,3.172939
13.271667,3.181008
13.273333,3.189698
13.275,3.200279
13.276667,3.213347
13.278333,3.227062
13.28,3.245153
13.281667,3.265643
13.283333,3.287713
13.285,3.309457
13.286667,3.331078
13.288333,3.347769
13.29,3.359346
13.291667,3.363648
13.293333,3.360673
13.295,3.348531
13.296667,3.329612
13.298333,3.306464
13.3,3.281869
13.301667,3.259957
13.303333,3.241764
13.305,3.227146
13.306667,3.217212
13.308333,3.211921
13.31,3.209565
13.311667,3.206475
13.313333,3.203957
13.315,3.201023
13.316667,3.19597
13.318333,3.190416
13.32,3.183336
13.321667,3.174288
13.323333,3.165119
13.325,3.15684
13.326667,3.148564
13.328333,3.141975
13.33,3.135751
13.331667,3.130901
13.333333,3.125685
13.335,3.123037
13.336667,3.120488
13.338333,3.118309
13.34,3.116801
13.341667,3.115131
13.343333,3.115777
13.345,3.116883
13.346667,3.11735
13.348333,3.117068
13.35,3.115981
13.351667,3.116642
13.353333,3.116687
13.355,3.118077
13.356667,3.119977
13.358333,3.123892
13.36,3.129745
13.361667,3.135347
13.363333,3.140533
13.365,3.143959
13.366667,3.148077
13.368333,3.150059
13.37,3.150427
13.371667,3.149913
13.373333,3.147649
13.375,3.145954
13.376667,3.143386
13.378333,3.140245
13.38,3.136165
13.381667,3.133308
13.383333,3.131363
13.385,3.13158
13.386667,3.133479
13.388333,3.13506
13.39,3.13854
13.391667,3.143754
13.393333,3.14966
13.395,3.154936
13.396667,3.160265
13.398333,3.165936
13.4,3.170254
13.401667,3.173668
13.403333,3.173889
13.405,3.169591
13.406667,3.164106
13.408333,3.156952
13.41,3.14787
13.411667,3.138442
13.413333,3.130273
13.415,3.123408
13.416667,3.118205
13.418333,3.113789
13.42,3.110381
13.421667,3.107473
13.423333,3.106648
13.425,3.1073
13.426667,3.106474
13.428333,3.107132
13.43,3.108129
13.431667,3.110564
13.433333,3.112551
13.435,3.112995
13.436667,3.113261
13.438333,3.113422
13.44,3.114116
13.441667,3.114256
13.443333,3.112565
13.445,3.110533
13.446667,3.10769
13.448333,3.105146
13.45,3.100774
13.451667,3.096643
13.453333,3.092983
13.455,3.089541
13.456667,3.088246
13.458333,3.088309
13.46,3.088479
13.461667,3.089453
13.463333,3.090396
13.465,3.092861
13.466667,3.094162
13.468333,3.095721
13.47,3.096244
13.471667,3.096162
13.473333,3.096343
13.475,3.097497
13.476667,3.098563
13.478333,3.099195
13.48,3.099466
13.481667,3.100331
13.483333,3.101979
13.485,3.103837
13.486667,3.10622
13.488333,3.108659
13.49,3.111704
13.491667,3.115575
13.493333,3.118116
13.495,3.119008
13.496667,3.118789
13.498333,3.118484
13.5,3.118777
13.501667,3.117857
13.503333,3.11873
13.505,3.119845
13.506667,3.120852
13.508333,3.12138
13.51,3.121384
13.511667,3.122895
13.513333,3.126998
13.515,3.135495
13.516667,3.150965
13.518333,3.174798
13.52,3.207708
13.521667,3.247646
13.523333,3.293274
13.525,3.339434
13.526667,3.381994
13.528333,3.41646
13.53,3.440544
13.531667,3.451845
13.533333,3.450369
13.535,3.433688
13.536667,3.406061
13.538333,3.372764
13.54,3.338681
13.541667,3.305737
13.543333,3.276856
13.545,3.250829
13.546667,3.231829
13.548333,3.218074
13.55,3.205997
13.551667,3.193753
13.553333,3.182825
13.555,3.171074
13.556667,3.160114
13.558333,3.15124
13.56,3.141619
13.561667,3.131185
13.563333,3.122673
13.565,3.116191
13.566667,3.112661
13.568333,3.113664
13.57,3.117701
13.571667,3.124502
13.573333,3.134788
13.575,3.149149
13.576667,3.163091
13.578333,3.178155
13.58,3.192672
13.581667,3.205839
13.583333,3.216466
13.585,3.22386
13.586667,3.227578
13.588333,3.226619
13.59,3.221109
13.591667,3.212645
13.593333,3.200875
13.595,3.189435
13.596667,3.177095
13.598333,3.165145
13.6,3.153744
13.601667,3.142588
13.603333,3.133579
13.605,3.124187
13.606667,3.115835
13.608333,3.1089
13.61,3.10319
13.611667,3.097944
13.613333,3.093441
13.615,3.091976
13.616667,3.093286
13.618333,3.097874
13.62,3.107141
13.621667,3.12115
13.623333,3.140692
13.625,3.163986
13.626667,3.188086
13.628333,3.20987
13.63,3.23009
13.631667,3.247444
13.633333,3.260741
13.635,3.267905
13.636667,3.269347
13.638333,3.266268
13.64,3.260189
13.641667,3.251976
13.643333,3.241246
13.645,3.22966
13.646667,3.2208
13.648333,3.212886
13.65,3.20611
13.651667,3.197653
13.653333,3.18933
13.655,3.181027
13.656667,3.173799
13.658333,3.167297
13.66,3.161784
13.661667,3.159483
13.663333,3.158249
13.665,3.158577
13.666667,3.159983
13.668333,3.16179
13.67,3.165549
13.671667,3.169944
13.673333,3.175377
13.675,3.18185
13.676667,3.190982
13.678333,3.202645
